symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of Type 2 diabetes mellitus,Pioglit MF 15 Tablet ER,As directed by physician,,Headache Dizziness Hypoglycemia low blood glucose level Diarrhea Nausea Vomiting Flatulence Urinary tract infection Upper respiratory tract infection Edema swelling
 Potassium deficiency,Potcl 1.5gm Injection,As directed by physician,,Injection site reactions pain swelling redness Diarrhea Nausea Vomiting Flatulence Abdominal pain Fatigue Febrile response
Treatment of Fungal skin infections,Panderm + Dusting Powder,As directed by physician,,Blisters Skin peeling Swelling Application site irritation
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Pregeb OD 75 Tablet,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Paroxee CR 25 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
 Fungal nail infections,Pamoria Cream,As directed by physician,,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
Treatment of Gastroesophageal reflux disease (Acid reflux),Pantodac L Capsule SR,As directed by physician,,Stomach pain Vomiting Diarrhea Headache Nausea Flatulence Dizziness
 Parkinson's disease Restless leg syndrome,Pramirol 0.125 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Paradise XR 12.5 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
 Hormone replacement therapyTreatment of Female infertility,Pregcert 300 SR Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Treatment of Neuropathic pain,Pregeb M 150 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Fungal skin infections,Phytoral B Cream,As directed by physician,Application site reactions burning irritation itching and redness,
 Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Psorid 100mg Oral Solution,As directed by physician,,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
Treatment of Type 2 diabetes mellitus,Pio-M 15 Tablet SR,As directed by physician,,Headache Dizziness Hypoglycemia low blood glucose level Diarrhea Nausea Vomiting Flatulence Urinary tract infection Upper respiratory tract infection Edema swelling
Treatment of Acne,Paknet-C Gel,As directed by physician,,Skin peeling Erythema skin redness Dry skin Burning sensation at the site of application
Treatment of Gastroesophageal reflux disease (Acid reflux),Pantafol-SL Capsule SR,As directed by physician,,Stomach pain Vomiting Diarrhea Headache Nausea Flatulence Dizziness
 Pain reliefTreatment of Fever,Pyricool 500mg Tablet,As directed by physician,,Stomach pain Nausea Vomiting
Treatment of Hair loss,Prolox Extra Strength 10% Topical Solution,As directed by physician,,Itching Chest pain Headache Hypertrichosis excessive hair growth Rash Dermatitis Hypersensitivity Weight gain Fluid retention Tachycardia
Treatment of Neuropathic pain,Pregalin X 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Prevention of heart attack and stroke,Plagerine-A Capsule,As directed by physician,,Abdominal pain Bruise Diarrhea Gastrointestinal bleeding Increased bleeding tendency Nosebleeds
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,P2I Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
Treatment of Neuropathic pain,Preganza NT Tablet,As directed by physician,,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Prelid 8mg Tablet,As directed by physician,,Thinning of skin Increased risk of infection Reduction in bone density Weight gain Mood changes Upset stomach Behavioral changes
Treatment of Constipation,Prulitop 2 Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Prutrip 25mg Tablet,As directed by physician,,Sedation Nausea Vomiting Upset stomach Constipation
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Panplus 40 Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Parkinson's disease Restless leg syndrome,Pramipex ER 1.5 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Pexep 10 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
Treatment of Hypertension (high blood pressure),Primodil-AT  Tablet,As directed by physician,,Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
Treatment of Type 2 diabetes mellitus,Prominad Tablet,As directed by physician,,Increased thirst Polyuria Urinary tract infection Genital fungal infection Nausea Constipation Rash
 Prevention of Measles Prevention of Rubella Prevention of Mumps,Priorix Vaccine,As directed by physician,,Rash Injection site soreness Fever
 Skin conditions with inflammation & itching,Provate-D Cream,As directed by physician,Dryness Irritation,
Treatment of Bacterial infections,Phexin 125mg Redisyp Pineapple,As directed by physician,,Abdominal pain Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
 Pain reliefTreatment of Fever,Pyrigesic Drop,As directed by physician,,Indigestion Stomach pain Nausea Vomiting
 Kidney stone,Potrate-M Oral Solution,As directed by physician,,Diarrhea Nausea Vomiting Stomach pain
Treatment of Neuropathic pain,Pregalin M 150 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Predace 4 Tablet,As directed by physician,,Thinning of skin Increased risk of infection Reduction in bone density Weight gain Mood changes Upset stomach Behavioral changes
 Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Panimun Bioral 100mg Capsule,As directed by physician,,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
Treatment of Pulmonary arterial hypertension (PAH),Pulmoday 20mg Tablet,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Indigestion Muscle pain Upset stomach Diarrhea Nasal inflammation Sinus inflammation
Treatment of Neuropathic pain,Prelin M 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment and prevention of Wound infection,Povidot 10% Ointment,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pantodac IV Injection,As directed by physician,,Diarrhea Flatulence Headache Joint pain Nausea Stomach pain Vomiting Dizziness Thrombophlebitis
 Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Plagerine Tablet,As directed by physician,,Abdominal pain Bruise Diarrhea Hematoma Nosebleeds Gastrointestinal bleeding Dyspepsia
 Skin conditions with inflammation & itchingTreatment of Asthma,Propynate NF Lotion,As directed by physician,Hoarseness of voice Thrush Pharyngitis Abnormal taste Nasopharyngeal irritation Application site irritation Application site burning,
 Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Pinom 10 Tablet,As directed by physician,,Cough Diarrhea Dizziness Flu like symptoms Headache Indigestion Nausea Runny nose Sore throat Stomach pain Blood in urine Chest pain
Prevention of Infections after chemotherapy,Pegex 6mg Injection,As directed by physician,,Bone pain Joint pain Headache Nausea Low blood platelets Muscle pain Back pain Pain in extremities Injection site pain
Treatment of Idiopathic pulmonary fibrosis,Pirfenex 600mg Tablet,As directed by physician,,Insomnia difficulty in sleeping Headache Dizziness Tiredness Sinus inflammation Loss of appetite Upper respiratory tract infection Weight loss Nausea Indigestion Diarrhea Photosensitivity
Treatment of Neuropathic pain,Pregeb M OD 150 Tablet,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Primodil 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
Treatment of Neuropathic pain,Pregastar M - OD 75 Tablet SR,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Female infertility Male hypogonadism Male infertility,Puregraf 150IU HP Injection,As directed by physician,,Headache Injection site pain Injection site allergic reaction Abdominal pain Abdominal cramp Nausea Ovarian hyperstimulation syndrome
Treatment of Anal fissure,Pileum Suppository,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Polycystic ovarian syndrome (PCOS),Pinkeva 35 Kit,As directed by physician,,Nausea Stomach pain Headache Weight gain Breast pain Mood changes
Treatment of Pancreatic enzyme deficiency,Pancrehenz 25000 Capsule,As directed by physician,,Stomach pain Bloating Diarrhea
 Depression,Prestiq 50 Tablet ER,As directed by physician,,Anxiety Constipation Decreased appetite Dizziness Increased sweating Insomnia difficulty in sleeping Nausea Sexual dysfunction Vomiting
Treatment of Pancreatic enzyme deficiency,Pancrehenz 10000 Capsule,As directed by physician,,Stomach pain Bloating Diarrhea
 Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Protera-I Capsule SR,As directed by physician,,Diarrhea Stomach pain Headache Flatulence Dizziness Increased saliva production
 Pain reliefTreatment of Fever,P 750 Tablet,As directed by physician,,Stomach pain Nausea Vomiting
 Parkinson's disease Restless leg syndrome,Pramirol SR 0.52 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
Treatment of SchizophreniaTreatment of DepressionTreatment of Bipolar disorder,Penridol 20mg Tablet,As directed by physician,,Abnormality of voluntary movements Constipation Dryness in mouth Increased prolactin level in blood Muscle stiffness Orthostatic hypotension sudden lowering of blood pressure on standing Sleepiness Tremors Urinary retention Weight gain
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pancicare-D Capsule PR,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Neuropathic pain,Prelica Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Respiratory tract infection,Polypod CV 200 Tablet,As directed by physician,,Nausea Diarrhea Headache Rash Abdominal pain Vaginal infection Fungal infection of vagina
Treatment and prevention of Blood clots,Pradaxa 75mg Capsule,As directed by physician,,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Panex-CR 25 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Panum 40 Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
